    id    power(W) source(n/s)
     0 7.64200E-01 3.95748E+08
     1 7.64200E-01 3.95748E+08
     5 7.64199E-01 3.95748E+08
     6 7.64199E-01 3.95747E+08
    25 1.38415E+00 7.14725E+08
    26 1.38415E+00 7.14726E+08
    30 1.38415E+00 7.14725E+08
    31 1.38415E+00 7.14725E+08
     1 7.64200E-01 3.95748E+08
     2 7.64200E-01 3.95748E+08
     6 7.64199E-01 3.95747E+08
     7 7.64198E-01 3.95747E+08
    26 1.38415E+00 7.14726E+08
    27 1.38415E+00 7.14726E+08
    31 1.38415E+00 7.14725E+08
    32 1.38415E+00 7.14725E+08
     2 7.64200E-01 3.95748E+08
     3 7.64200E-01 3.95748E+08
     7 7.64198E-01 3.95747E+08
     8 7.64199E-01 3.95747E+08
    27 1.38415E+00 7.14726E+08
    28 1.38415E+00 7.14726E+08
    32 1.38415E+00 7.14725E+08
    33 1.38415E+00 7.14725E+08
     3 7.64200E-01 3.95748E+08
     4 7.64201E-01 3.95748E+08
     8 7.64199E-01 3.95747E+08
     9 7.64199E-01 3.95748E+08
    28 1.38415E+00 7.14726E+08
    29 1.38416E+00 7.14726E+08
    33 1.38415E+00 7.14725E+08
    34 1.38415E+00 7.14726E+08
     5 7.64199E-01 3.95748E+08
     6 7.64199E-01 3.95747E+08
    10 7.64199E-01 3.95748E+08
    11 7.64198E-01 3.95747E+08
    30 1.38415E+00 7.14725E+08
    31 1.38415E+00 7.14725E+08
    35 1.38415E+00 7.14726E+08
    36 1.38415E+00 7.14725E+08
     6 7.64199E-01 3.95747E+08
     7 7.64198E-01 3.95747E+08
    11 7.64198E-01 3.95747E+08
    12 7.64199E-01 3.95747E+08
    31 1.38415E+00 7.14725E+08
    32 1.38415E+00 7.14725E+08
    36 1.38415E+00 7.14725E+08
    37 1.38415E+00 7.14725E+08
     7 7.64198E-01 3.95747E+08
     8 7.64199E-01 3.95747E+08
    12 7.64199E-01 3.95747E+08
    13 7.64199E-01 3.95747E+08
    32 1.38415E+00 7.14725E+08
    33 1.38415E+00 7.14725E+08
    37 1.38415E+00 7.14725E+08
    38 1.38415E+00 7.14725E+08
     8 7.64199E-01 3.95747E+08
     9 7.64199E-01 3.95748E+08
    13 7.64199E-01 3.95747E+08
    14 7.64199E-01 3.95748E+08
    33 1.38415E+00 7.14725E+08
    34 1.38415E+00 7.14726E+08
    38 1.38415E+00 7.14725E+08
    39 1.38415E+00 7.14726E+08
    10 7.64199E-01 3.95748E+08
    11 7.64198E-01 3.95747E+08
    15 7.64199E-01 3.95748E+08
    16 7.64198E-01 3.95747E+08
    35 1.38415E+00 7.14726E+08
    36 1.38415E+00 7.14725E+08
    40 1.38415E+00 7.14726E+08
    41 1.38415E+00 7.14725E+08
    11 7.64198E-01 3.95747E+08
    12 7.64199E-01 3.95747E+08
    16 7.64198E-01 3.95747E+08
    17 7.64198E-01 3.95747E+08
    36 1.38415E+00 7.14725E+08
    37 1.38415E+00 7.14725E+08
    41 1.38415E+00 7.14725E+08
    42 1.38415E+00 7.14725E+08
    12 7.64199E-01 3.95747E+08
    13 7.64199E-01 3.95747E+08
    17 7.64198E-01 3.95747E+08
    18 7.64199E-01 3.95747E+08
    37 1.38415E+00 7.14725E+08
    38 1.38415E+00 7.14725E+08
    42 1.38415E+00 7.14725E+08
    43 1.38415E+00 7.14725E+08
    13 7.64199E-01 3.95747E+08
    14 7.64199E-01 3.95748E+08
    18 7.64199E-01 3.95747E+08
    19 7.64199E-01 3.95747E+08
    38 1.38415E+00 7.14725E+08
    39 1.38415E+00 7.14726E+08
    43 1.38415E+00 7.14725E+08
    44 1.38415E+00 7.14725E+08
    15 7.64199E-01 3.95748E+08
    16 7.64198E-01 3.95747E+08
    20 7.64200E-01 3.95748E+08
    21 7.64199E-01 3.95748E+08
    40 1.38415E+00 7.14726E+08
    41 1.38415E+00 7.14725E+08
    45 1.38416E+00 7.14726E+08
    46 1.38415E+00 7.14726E+08
    16 7.64198E-01 3.95747E+08
    17 7.64198E-01 3.95747E+08
    21 7.64199E-01 3.95748E+08
    22 7.64199E-01 3.95747E+08
    41 1.38415E+00 7.14725E+08
    42 1.38415E+00 7.14725E+08
    46 1.38415E+00 7.14726E+08
    47 1.38415E+00 7.14726E+08
    17 7.64198E-01 3.95747E+08
    18 7.64199E-01 3.95747E+08
    22 7.64199E-01 3.95747E+08
    23 7.64199E-01 3.95748E+08
    42 1.38415E+00 7.14725E+08
    43 1.38415E+00 7.14725E+08
    47 1.38415E+00 7.14726E+08
    48 1.38415E+00 7.14726E+08
    18 7.64199E-01 3.95747E+08
    19 7.64199E-01 3.95747E+08
    23 7.64199E-01 3.95748E+08
    24 7.64200E-01 3.95748E+08
    43 1.38415E+00 7.14725E+08
    44 1.38415E+00 7.14725E+08
    48 1.38415E+00 7.14726E+08
    49 1.38415E+00 7.14725E+08
    25 1.38415E+00 7.14725E+08
    26 1.38415E+00 7.14726E+08
    30 1.38415E+00 7.14725E+08
    31 1.38415E+00 7.14725E+08
    50 1.90558E+00 9.83015E+08
    51 1.90558E+00 9.83015E+08
    55 1.90558E+00 9.83015E+08
    56 1.90558E+00 9.83014E+08
    26 1.38415E+00 7.14726E+08
    27 1.38415E+00 7.14726E+08
    31 1.38415E+00 7.14725E+08
    32 1.38415E+00 7.14725E+08
    51 1.90558E+00 9.83015E+08
    52 1.90558E+00 9.83015E+08
    56 1.90558E+00 9.83014E+08
    57 1.90558E+00 9.83014E+08
    27 1.38415E+00 7.14726E+08
    28 1.38415E+00 7.14726E+08
    32 1.38415E+00 7.14725E+08
    33 1.38415E+00 7.14725E+08
    52 1.90558E+00 9.83015E+08
    53 1.90558E+00 9.83015E+08
    57 1.90558E+00 9.83014E+08
    58 1.90558E+00 9.83014E+08
    28 1.38415E+00 7.14726E+08
    29 1.38416E+00 7.14726E+08
    33 1.38415E+00 7.14725E+08
    34 1.38415E+00 7.14726E+08
    53 1.90558E+00 9.83015E+08
    54 1.90559E+00 9.83016E+08
    58 1.90558E+00 9.83014E+08
    59 1.90558E+00 9.83015E+08
    30 1.38415E+00 7.14725E+08
    31 1.38415E+00 7.14725E+08
    35 1.38415E+00 7.14726E+08
    36 1.38415E+00 7.14725E+08
    55 1.90558E+00 9.83015E+08
    56 1.90558E+00 9.83014E+08
    60 1.90558E+00 9.83015E+08
    61 1.90558E+00 9.83014E+08
    31 1.38415E+00 7.14725E+08
    32 1.38415E+00 7.14725E+08
    36 1.38415E+00 7.14725E+08
    37 1.38415E+00 7.14725E+08
    56 1.90558E+00 9.83014E+08
    57 1.90558E+00 9.83014E+08
    61 1.90558E+00 9.83014E+08
    62 1.90558E+00 9.83014E+08
    32 1.38415E+00 7.14725E+08
    33 1.38415E+00 7.14725E+08
    37 1.38415E+00 7.14725E+08
    38 1.38415E+00 7.14725E+08
    57 1.90558E+00 9.83014E+08
    58 1.90558E+00 9.83014E+08
    62 1.90558E+00 9.83014E+08
